className, methodName, marks
class tests.ArrayServiceTest,testIndexOf,7.5
class tests.ArrayServiceTest,testIndexOf,7.5
class tests.ArrayServiceTest,testCountOccurrences,7.5
class tests.ArrayServiceTest,testIndexOf,7.5
class tests.ArrayServiceTest,testCountOccurrences,7.5
class tests.ArrayServiceTest,testIndexOf,7.5
class tests.ArrayServiceTest,testCountOccurrences,7.5
class tests.ArrayServiceTest,testIndexOf,7.5
class tests.ArrayServiceTest,testCountOccurrences,7.5
class tests.ArrayServiceTest,testIndexOf,7.5
class tests.ArrayServiceTest,testCountOccurrences,7.5
class tests.ArrayServiceTest,testIndexOf,7.5
class tests.ArrayServiceTest,testCountOccurrences,7.5
class tests.ArrayServiceTest,testMaxNullEmptyCheck,1.0
class tests.ArrayServiceTest,testIndexOf,7.5
class tests.ArrayServiceTest,testCountOccurrences,7.5
class tests.ArrayServiceTest,testMax,7.5
class tests.ArrayServiceTest,testMaxNullEmptyCheck,1.0
class tests.ArrayServiceTest,testIndexOf,7.5
class tests.ArrayServiceTest,testCountOccurrences,7.5
class tests.ArrayServiceTest,testMax,7.5
class tests.ArrayServiceTest,testMaxNullEmptyCheck,1.0
class tests.ArrayServiceTest,testIndexOf,7.5
class tests.ArrayServiceTest,testCountOccurrences,7.5
class tests.ArrayServiceTest,testMax,7.5
class tests.ArrayServiceTest,testMaxNullEmptyCheck,1.0
class tests.ArrayServiceTest,testMin,7.5
class tests.ArrayServiceTest,testMinNullEmptyCheck,1.0
class tests.ArrayServiceTest,testIndexOf,7.5
class tests.ArrayServiceTest,testCountOccurrences,7.5
class tests.ArrayServiceTest,testMax,7.5
class tests.ArrayServiceTest,testMaxNullEmptyCheck,1.0
class tests.ArrayServiceTest,testMin,7.5
class tests.ArrayServiceTest,testMinNullEmptyCheck,1.0
class tests.ArrayServiceTest,testDiff,7.5
class tests.ArrayServiceTest,testDiffNullEmptyCheck,1.0
class tests.ArrayServiceTest,testIndexOf,7.5
class tests.ArrayServiceTest,testCountOccurrences,7.5
class tests.ArrayServiceTest,testMax,7.5
class tests.ArrayServiceTest,testMaxNullEmptyCheck,1.0
class tests.ArrayServiceTest,testMin,7.5
class tests.ArrayServiceTest,testMinNullEmptyCheck,1.0
class tests.ArrayServiceTest,testDiff,7.5
class tests.ArrayServiceTest,testDiffNullEmptyCheck,1.0
class tests.ArrayServiceTest,testIsAscending,7.5
class tests.ArrayServiceTest,testIsAscendingNullEmptyCheck,1.0
class tests.ArrayServiceTest,testIndexOf,7.5
class tests.ArrayServiceTest,testCountOccurrences,7.5
class tests.ArrayServiceTest,testMax,7.5
class tests.ArrayServiceTest,testMaxNullEmptyCheck,1.0
class tests.ArrayServiceTest,testMin,7.5
